detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_mahalanobis_delta,defocus_blur,0.05,3493.733621530966,0.8785714285714286,0.6219512195121951,0.058823529411764705,0.9870967741935484,280,153,2,93,32
ref_mahalanobis_delta,defocus_blur,0.1,2230.8742307412804,0.8785714285714286,0.7845528455284553,0.17647058823529413,0.9698492462311558,280,193,6,53,28
ref_mahalanobis_delta,gaussian_blur,0.05,3453.522522848622,0.9196428571428571,0.8187702265372169,0.14814814814814814,0.9844357976653697,336,253,4,56,23
ref_mahalanobis_delta,gaussian_blur,0.1,2220.519191115686,0.9196428571428571,0.9288025889967637,0.2222222222222222,0.9795221843003413,336,287,6,22,21
ref_mahalanobis_delta,gaussian_noise,0.05,3539.1520567028447,0.35714285714285715,0.03333333333333333,0.018518518518518517,0.5,168,2,2,58,106
ref_mahalanobis_delta,gaussian_noise,0.1,2308.025290343606,0.35714285714285715,0.2,0.037037037037037035,0.75,168,12,4,48,104
ref_mahalanobis_delta,green_channel_shift,0.05,3566.282905209894,0.03571428571428571,0.0,0.018518518518518517,0.0,224,0,4,8,212
ref_mahalanobis_delta,green_channel_shift,0.1,2327.978711380938,0.03571428571428571,0.25,0.05555555555555555,0.14285714285714285,224,2,12,6,204
ref_mahalanobis_delta,illumination,0.05,3691.18073468945,0.0,,0.0,,224,0,0,0,224
ref_mahalanobis_delta,illumination,0.1,2466.524857135309,0.0,,0.0,,224,0,0,0,224
ref_mahalanobis_delta,impulse_noise,0.05,3520.4546676882733,0.5714285714285714,0.041666666666666664,0.027777777777777776,0.6666666666666666,168,4,2,92,70
ref_mahalanobis_delta,impulse_noise,0.1,2258.8984320722348,0.5714285714285714,0.2916666666666667,0.06944444444444445,0.8484848484848485,168,28,5,68,67
ref_mahalanobis_delta,jpeg,0.05,3368.4311809621686,0.30357142857142855,0.49411764705882355,0.10256410256410256,0.6774193548387096,280,42,20,43,175
ref_mahalanobis_delta,jpeg,0.1,2075.5421884822745,0.30357142857142855,0.6705882352941176,0.24615384615384617,0.5428571428571428,280,57,48,28,147
ref_mahalanobis_delta,motion_blur,0.05,3520.4546676882733,0.6607142857142857,0.3153153153153153,0.017543859649122806,0.9722222222222222,168,35,1,76,56
ref_mahalanobis_delta,motion_blur,0.1,2243.6410107545144,0.6607142857142857,0.5315315315315315,0.10526315789473684,0.9076923076923077,168,59,6,52,51
ref_mahalanobis_delta,pixelate,0.05,3495.5066519409147,0.8869047619047619,0.3825503355704698,0.05263157894736842,0.9827586206896551,168,57,1,92,18
